%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -66551.49210113194, -5439.74404808808, -5425.126007214309, -5162.649472075638, -69949.71721765009, -66827.69260736616, -66198.33453873808, -67622.72180589697, -5827.7256283433, -6484.598694395864, -3597.736787526225, -3592.886458979423, -5598.284971509573, -43787.9838094692, -40735.98721456376, -33831.17572440812, -0.098, 0.437, -0.197, 192.0, 124.5, 112.0, 13.5, 40.0, 121.5, 88.0, 0.0, 0.0, 0.0, 1.769893009766153E9, 0.0, 2026-01-31 14:56:49.766
2.0, -133101.12900747408, -10881.857381088423, -10842.42890386926, -10322.594383072184, -139904.9329644362, -133647.9867873176, -132389.0471326169, -135246.3823850611, -140320.20602467132, -140798.86863218172, -8789.152954715842, -8300.789690111838, -139737.92072986613, -89894.69288524306, -81670.14499546826, -70323.68425413183, -0.098, 0.437, -0.197, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009775231E9, 0.0, 2026-01-31 14:56:49.775
4.0, -133096.54689986072, -10852.598947596425, -10843.635898069848, -10321.834423760703, -139911.30321160593, -133639.80604884698, -132393.7409989525, -135252.23854210836, -140344.50237089425, -140823.23203363802, -8778.088841210467, -8289.680873117552, -139759.0878318653, -89879.85132692472, -81665.80875704394, -70318.69981511829, -0.098, 0.437, -0.197, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009782126E9, 0.0, 2026-01-31 14:56:49.782
6.0, -133104.79469356473, -10878.459915931215, -10842.674773058268, -10321.767368527338, -139901.75901672352, -133633.10052551038, -132388.77891168345, -135252.9761496754, -140318.23907115927, -140796.65580948067, -8787.901257026346, -8297.369873210177, -139738.85950313325, -89889.50728052942, -81671.48610013559, -70322.47725993124, -0.098, 0.437, -0.197, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009790241E9, 0.0, 2026-01-31 14:56:49.790
8.0, -133092.92591725898, -10840.48430210165, -10838.71851428968, -10313.85485099016, -139914.00777268503, -133618.88481603682, -132396.13263560925, -135257.80412647774, -140342.64717610445, -140820.72863825902, -8776.859495265424, -8288.518582405875, -139755.66801496365, -89879.9183821581, -81664.64646633225, -70318.76687035167, -0.20800000000000002, 0.886, -0.372, 192.0, 124.5, 64.0, 13.5, 88.0, 122.0, 48.0, 0.0, 0.0, 0.0, 1.769893009797259E9, 0.0, 2026-01-31 14:56:49.797
10.0, -133105.93463253198, -10870.010956527109, -10841.154854435308, -10313.832499245704, -139896.4616532876, -133605.45141761916, -132393.02574312995, -135258.07234741122, -140315.4674548468, -140793.05717862336, -8784.280274424586, -8289.703224862007, -139734.92559610913, -89882.62294323719, -81669.49679487906, -70318.99038779622, -0.20800000000000002, 0.886, -0.372, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009805316E9, 0.0, 2026-01-31 14:56:49.805
12.0, -133092.14360620306, -10829.733113018647, -10834.024647954066, -10307.104624164656, -139918.4334180872, -133588.6429057888, -132397.6972577211, -135259.74872824535, -140341.35077492605, -140817.71115275755, -8774.758431286626, -8281.746003835917, -139751.3317765393, -89874.37514953318, -81662.45599537564, -70313.69302436031, -0.20800000000000002, 0.886, -0.372, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009815189E9, 0.0, 2026-01-31 14:56:49.815
14.0, -133108.79565582224, -10863.528950635071, -10837.869148000378, -10309.429205588009, -139893.3771125528, -133579.16576613972, -132389.47181576156, -135257.22298112191, -140319.5801758266, -140797.0357891364, -8776.457163865229, -8280.06962300177, -139736.64668043217, -89874.44220476654, -81666.16638495521, -70313.26834121566, -0.20800000000000002, 0.886, -0.372, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009822307E9, 0.0, 2026-01-31 14:56:49.822
16.0, -133094.49053937086, -10824.52515656056, -10829.487243829637, -10304.690635763483, -139920.3780198548, -133565.28533283298, -132387.03547561594, -135258.98876893386, -140334.44408588935, -140811.27385035442, -8767.605873060927, -8273.744079320917, -139749.2754160494, -89870.53064948687, -81656.86805926182, -70310.87670455893, -0.20800000000000002, 0.886, -0.372, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769893009829229E9, 0.0, 2026-01-31 14:56:49.829
18.0, -133112.70721110192, -10861.740811078645, -10836.9080229888, -10312.04435968928, -139894.94173466467, -133561.06085313094, -132375.21140279906, -135261.89449571306, -140326.55392009663, -140802.35550431674, -8771.092745195954, -8273.364099665177, -139743.15103806867, -89869.56952447529, -81662.85832677584, -70314.45298367178, -0.22, 0.896, -0.36, 192.0, 124.5, 16.0, 14.0, 0.0, 122.0, 96.0, 0.0, 0.0, 0.0, 1.769893009836254E9, 0.0, 2026-01-31 14:56:49.836
