%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -34770.99952352042, -4975.36420528462, -3867.589398335147, -13306.954599255872, -36891.28600255084, -34903.61242337375, -38171.75038716202, -36826.153019208075, -24231.257943064924, -24659.606773806427, -18192.93417846372, -20749.750226706296, -24060.557670659742, -48915.38458053882, -45582.06892991888, -48431.514016570334, -0.27, 0.756, -0.516, 192.0, 123.5, 72.0, 11.5, 80.0, 119.5, 112.0, 0.0, 0.0, 0.0, 1.769892762368094E9, 0.0, 2026-01-31 14:52:42.368
2.0, -69528.65505560102, -9992.995559334226, -7761.0397650050845, -26611.897541510767, -73706.44196348691, -69812.41045146114, -76356.19656517466, -73760.53318506875, -74178.39904766071, -77149.97406601597, -7556.20837881665, -7548.720544424123, -74127.95116042509, -71296.45452457125, -60971.20028390888, -29701.713288034596, -0.27, 0.756, -0.516, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76989276237412E9, 0.0, 2026-01-31 14:52:42.374
4.0, -69480.19647362191, -9995.566009946586, -7763.051422006062, -26599.380564615796, -73687.19711151089, -69796.94304429807, -76350.7203877831, -73883.84775922868, -74113.15430559567, -77083.96936463944, -7563.942082398186, -7545.25602403355, -74051.77641532141, -71297.10272516045, -60973.90484498798, -29709.670509060685, -0.27, 0.756, -0.516, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762382099E9, 0.0, 2026-01-31 14:52:42.382
6.0, -69454.80489192068, -10028.087798129058, -7769.913407553841, -26597.36890761482, -73644.19235517888, -69781.43093364609, -76328.45805030562, -73987.87277792368, -74095.1387995647, -77064.16571905205, -7561.036355618997, -7530.705038393145, -74038.0747959703, -71275.26507082762, -60987.4947056168, -29711.659814317205, -0.27, 0.756, -0.516, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762390124E9, 0.0, 2026-01-31 14:52:42.390
8.0, -69414.70586236786, -10033.385161564966, -7745.1923781862715, -26587.444733076663, -73658.05043674118, -69752.64188678765, -76276.13261653575, -74051.77641532141, -74069.4342934411, -77038.84119258418, -7553.615576459834, -7524.826529601399, -74002.3120048418, -71279.26603308512, -60985.46069687137, -29719.617035343297, -0.192, 0.8220000000000001, -0.494, 192.0, 125.0, 0.0, 12.5, 88.0, 120.0, 72.0, 0.0, 0.0, 0.0, 1.769892762398165E9, 0.0, 2026-01-31 14:52:42.398
10.0, -69395.34925166956, -10048.718458261306, -7744.655936319344, -26584.606061530838, -73648.77446279222, -69735.54280227933, -76229.93156074663, -74080.87838660221, -74090.55669195137, -77060.32121900574, -7540.964489098131, -7511.482538161581, -74026.67540629809, -71271.57703299249, -60982.890246259005, -29726.926055780183, -0.192, 0.8220000000000001, -0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762407167E9, 0.0, 2026-01-31 14:52:42.407
12.0, -69367.18605365587, -10057.23447289878, -7734.754113525643, -26579.040477161467, -73660.06209374215, -69728.23378184244, -76195.66633649664, -74093.52947396392, -74072.51883417593, -77043.42330019752, -7544.764285655533, -7518.925669065198, -74006.98351943296, -71291.91712044681, -60965.16531290595, -29735.620884373297, -0.192, 0.8220000000000001, -0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762414129E9, 0.0, 2026-01-31 14:52:42.414
14.0, -69351.7186464928, -10065.728135791795, -7761.062116749539, -26586.148331898254, -73624.94750320286, -69733.41938655608, -76191.44185679458, -74120.53038126593, -74080.61016566875, -77048.63125665562, -7548.16175081274, -7517.472805675603, -74016.01362419291, -71294.91225420384, -60952.35776333306, -29741.23117223158, -0.192, 0.8220000000000001, -0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762422213E9, 0.0, 2026-01-31 14:52:42.422
16.0, -69324.65068395743, -10083.274255189212, -7775.210770989749, -26591.35628835634, -73593.69976445434, -69743.6117820277, -76197.85680745325, -74147.7548060125, -74025.2225429085, -76992.01428795031, -7571.07228887943, -7536.270622762517, -73961.05068457732, -71324.66242607385, -60941.45011203887, -29750.59655315835, -0.192, 0.8220000000000001, -0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762430218E9, 0.0, 2026-01-31 14:52:42.430
18.0, -69297.85094235551, -10084.727118578807, -7804.178631803827, -26595.379602358295, -73546.00114178672, -69756.19581415603, -76212.3407378603, -74186.15510298671, -74006.98351943296, -76972.52356678528, -7573.888608680798, -7534.594241928368, -73943.32575122426, -71325.82471678552, -60931.525937500715, -29754.061073548924, -0.14200000000000002, 0.834, -0.496, 192.0, 125.5, 72.0, 13.0, 8.0, 120.0, 64.0, 0.0, 0.0, 0.0, 1.769892762438266E9, 0.0, 2026-01-31 14:52:42.438
20.0, -69272.41465716537, -10114.656104404463, -7815.913297642863, -26591.043363933964, -73515.17808618284, -69758.98978221296, -76211.35726110426, -74220.6214929368, -73942.67755063505, -76906.98825204233, -7589.512478055058, -7546.6194804453235, -73878.93037544852, -71346.36596993994, -60927.50262349876, -29767.785044644483, -0.14200000000000002, 0.834, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762446187E9, 0.0, 2026-01-31 14:52:42.446
22.0, -69230.25926712266, -10111.035121802703, -7835.806350208087, -26582.504997552038, -73511.42299311436, -69743.14239539414, -76221.99669146498, -74226.05296683943, -73944.68920763602, -76908.23994973183, -7586.562047786957, -7532.426122716203, -73874.30356434626, -71331.591466855, -60925.53566998669, -29770.13197781229, -0.14200000000000002, 0.834, -0.496, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769892762454296E9, 0.0, 2026-01-31 14:52:42.454
