%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -187500.02235174447, -57276.09929753534, -187500.02235174447, -187500.02235174447, -32370.73509344281, 6938.964955683346, -106125.1439005308, -10604.315770186875, -42692.100130569954, -93750.01117587223, -93750.01117587223, -89246.67110999479, -69029.540601914, -6554.336137096422, 2169.6614825322013, -93750.01117587223, -0.024, 0.466, 0.156, 192.0, 127.5, 32.0, 7.0, 72.0, 2.0, 112.0, 0.0, 0.0, 0.0, 1.770498139295074E9, 0.0, 2026-02-07 15:02:19.295
2.0, -187500.02235174447, -57276.14400102425, -187500.02235174447, -187500.02235174447, -32371.293887054195, 6938.160292882954, -106130.26245001107, -10612.541212146427, -85336.9933768503, -187500.02235174447, -187500.02235174447, -178483.28393498468, -138049.9393403458, -13115.31074229607, 4339.948813909151, -187500.02235174447, -0.024, 0.466, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139303072E9, 0.0, 2026-02-07 15:02:19.303
4.0, -187500.02235174447, -57274.91465507921, -187500.02235174447, -187500.02235174447, -32370.623334720534, 6935.701600992871, -106131.62590642285, -10619.872584327768, -85269.24523940626, -187500.02235174447, -187500.02235174447, -178464.26260045322, -138033.68962212678, -13116.987123130219, 4337.087790618872, -187500.02235174447, -0.024, 0.466, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139310143E9, 0.0, 2026-02-07 15:02:19.310
6.0, -187500.02235174447, -57279.742631881556, -187500.02235174447, -187500.02235174447, -32378.491148768804, 6940.283708606209, -106141.21480479417, -10632.903651345212, -85208.9178811214, -187500.02235174447, -187500.02235174447, -178450.8739055245, -138019.51861614213, -13123.625591233444, 4338.294784819458, -187500.02235174447, -0.029, 0.5830000000000001, 0.193, 192.0, 127.0, 120.0, 10.5, 112.0, 3.5, 24.0, 0.0, 0.0, 0.0, 1.770498139318148E9, 0.0, 2026-02-07 15:02:19.318
8.0, -187500.02235174447, -57277.14982952474, -187500.02235174447, -187500.02235174447, -32380.88278542552, 6939.344935339086, -106145.43928449623, -10638.849215370325, -85150.37866239293, -187500.02235174447, -187500.02235174447, -178438.69220479636, -138010.60027010445, -13133.169786115861, 4341.535787765478, -187500.02235174447, -0.029, 0.5830000000000001, 0.193, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.77049813932619E9, 0.0, 2026-02-07 15:02:19.326
10.0, -187500.02235174447, -57273.305329478426, -187500.02235174447, -187500.02235174447, -32383.564994760156, 6937.534444038206, -106150.64724095432, -10645.934718362656, -85093.76169368764, -187500.02235174447, -187500.02235174447, -178422.68835576635, -137996.80924377553, -13137.528376284645, 4338.3841917972795, -187500.02235174447, -0.029, 0.5830000000000001, 0.193, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139334245E9, 0.0, 2026-02-07 15:02:19.334
12.0, -187500.02235174447, -57272.321852722394, -187500.02235174447, -187500.02235174447, -32390.22581460784, 6940.5519295396725, -106159.69969745871, -10656.574148723383, -85047.20300998724, -187500.02235174447, -187500.02235174447, -178411.57953877206, -137987.68973203775, -13144.435065321335, 4339.837055186875, -187500.02235174447, -0.029, 0.5830000000000001, 0.193, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139342247E9, 0.0, 2026-02-07 15:02:19.342
14.0, -187500.02235174447, -57268.63381488727, -187500.02235174447, -187500.02235174447, -32395.03143966573, 6940.529577795217, -106166.33816556195, -10664.643128471747, -84999.03500068605, -187500.02235174447, -187500.02235174447, -178402.34826831202, -137982.45942383521, -13155.32036487107, 4342.09458137686, -187500.02235174447, -0.029, 0.5830000000000001, 0.193, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139349305E9, 0.0, 2026-02-07 15:02:19.349
16.0, -187500.02235174447, -57261.99534678404, -187500.02235174447, -187500.02235174447, -32397.624242022546, 6939.233176616809, -106171.36730806438, -10669.471105274095, -84953.77271816407, -187500.02235174447, -187500.02235174447, -178387.39495127142, -137974.99394118716, -13159.6566032954, 4340.887587176274, -187500.02235174447, -0.0395, 0.6995, 0.2305, 192.0, 127.0, 56.0, 12.5, 64.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.770498139358402E9, 0.0, 2026-02-07 15:02:19.358
18.0, -187500.02235174447, -57258.553178137925, -187500.02235174447, -187500.02235174447, -32402.474570569346, 6938.920252194435, -106177.35757557841, -10679.64114900126, -84912.31023219947, -187500.02235174447, -187500.02235174447, -178371.68167491935, -137967.3049410945, -13161.958832974296, 4339.390020297768, -187500.02235174447, -0.0395, 0.6995, 0.2305, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.770498139366844E9, 0.0, 2026-02-07 15:02:19.366
